"species","order","family","fullCodeSuitable","fullCodeMarginal","fullCodeUnknown","briefCode"
"Ornithorhynchus anatinus","MONOTREMATA","ORNITHORHYNCHIDAE","5.1",NA,NA,"5"
"Tachyglossus aculeatus","MONOTREMATA","TACHYGLOSSIDAE","1.4,1.5,1.6,1.9,2.1,3.4,3.5,3.6,3.7,3.8,4.4,4.5,4.7,8.1",NA,NA,"1,2,3,4,8"
"Zaglossus attenboroughi","MONOTREMATA","TACHYGLOSSIDAE","1.6,1.9",NA,NA,"1"
"Zaglossus bartoni","MONOTREMATA","TACHYGLOSSIDAE","1.6,1.9,3.6,3.7,4.7",NA,NA,"1,3,4"
"Zaglossus bruijnii","MONOTREMATA","TACHYGLOSSIDAE","1.6,1.9",NA,NA,"1"
"Caenolestes caniventer","PAUCITUBERCULATA","CAENOLESTIDAE","1.9",NA,NA,"1"
"Caenolestes condorensis","PAUCITUBERCULATA","CAENOLESTIDAE","1.9,3.7",NA,NA,"1,3"
"Caenolestes convelatus","PAUCITUBERCULATA","CAENOLESTIDAE","1.9",NA,NA,"1"
"Caenolestes fuliginosus","PAUCITUBERCULATA","CAENOLESTIDAE","1.9",NA,NA,"1"
"Caenolestes sangay","PAUCITUBERCULATA","CAENOLESTIDAE","1.9",NA,NA,"1"
"Lestoros inca","PAUCITUBERCULATA","CAENOLESTIDAE","1.9",NA,NA,"1"
"Rhyncholestes raphanurus","PAUCITUBERCULATA","CAENOLESTIDAE","1.3,1.4",NA,NA,"1"
"Caluromys derbianus","DIDELPHIMORPHIA","DIDELPHIDAE","1.6,1.9","1.6,1.9",NA,"14,1"
"Caluromys lanatus","DIDELPHIMORPHIA","DIDELPHIDAE","1.6,1.9","1.6,1.9",NA,"14,1"
"Caluromys philander","DIDELPHIMORPHIA","DIDELPHIDAE","1.6","1.6",NA,"14,1"
"Caluromysiops irrupta","DIDELPHIMORPHIA","DIDELPHIDAE","1.6",NA,NA,"1"
"Chironectes minimus","DIDELPHIMORPHIA","DIDELPHIDAE","1.6,1.8,1.9,5.1,5.4",NA,NA,"1,5"
"Didelphis albiventris","DIDELPHIMORPHIA","DIDELPHIDAE","1.6,2.1,2.2,3.5","1.6,2.1,2.2,3.5",NA,"14,1,2,3"
"Didelphis aurita","DIDELPHIMORPHIA","DIDELPHIDAE","1.4,1.5,1.6,1.9,3.6","1.4,1.5,1.6,1.9,3.6",NA,"1,14,3"
"Didelphis imperfecta","DIDELPHIMORPHIA","DIDELPHIDAE","1.6,1.9",NA,NA,"1"
"Didelphis marsupialis","DIDELPHIMORPHIA","DIDELPHIDAE","1.5,1.6,1.8,3.6","1.5,1.6,1.8,3.6",NA,"14,1,3"
"Didelphis pernigra","DIDELPHIMORPHIA","DIDELPHIDAE","1.6,1.9,3.5,4.5,4.7","1.6,1.9,3.5,4.5,4.7",NA,"14,1,3,4"
"Didelphis virginiana","DIDELPHIMORPHIA","DIDELPHIDAE","1.4,14.4,1.5,1.6,1.9,3.4","1.4,14.4,1.5,1.6,1.9,3.4","1.7","1,14,3"
"Lutreolina crassicaudata","DIDELPHIMORPHIA","DIDELPHIDAE","1.6,1.8,4.6","1.6,1.8,4.6",NA,"1,4,5"
"Lutreolina massoia","DIDELPHIMORPHIA","DIDELPHIDAE","1.6,1.9,4.6",NA,NA,"1,4"
"Philander andersoni","DIDELPHIMORPHIA","DIDELPHIDAE","1.6",NA,NA,"1"
"Philander canus","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Philander deltae","DIDELPHIMORPHIA","DIDELPHIDAE","1.6,1.8","1.6,1.8",NA,"1,5"
"Philander mcilhennyi","DIDELPHIMORPHIA","DIDELPHIDAE","1.6",NA,NA,"1"
"Philander melanurus","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Philander nigratus","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Philander opossum","DIDELPHIMORPHIA","DIDELPHIDAE","14.4,1.5,1.6,1.9,3.5,3.6",NA,NA,"14,1,3"
"Philander pebas","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Philander quica","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Philander vossi","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Marmosa alstoni","DIDELPHIMORPHIA","DIDELPHIDAE","1.6,1.9",NA,NA,"1"
"Marmosa andersoni","DIDELPHIMORPHIA","DIDELPHIDAE","1.9",NA,NA,"1"
"Marmosa constantiae","DIDELPHIMORPHIA","DIDELPHIDAE","1.6,1.9",NA,NA,"1"
"Marmosa demerarae","DIDELPHIMORPHIA","DIDELPHIDAE","1.6",NA,NA,"1"
"Marmosa germana","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Marmosa isthmica","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Marmosa lepida","DIDELPHIMORPHIA","DIDELPHIDAE","1.6",NA,NA,"1"
"Marmosa limae","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Marmosa macrotarsus","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Marmosa meridae","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Marmosa mexicana","DIDELPHIMORPHIA","DIDELPHIDAE","1.5,1.6,1.9,4.5","1.5,1.6,1.9,4.5",NA,"14,1,4"
"Marmosa murina","DIDELPHIMORPHIA","DIDELPHIDAE","14.3,14.4,14.5,14.6,1.6,1.8",NA,NA,"14,1"
"Marmosa paraguayana","DIDELPHIMORPHIA","DIDELPHIDAE","1.6",NA,NA,"1"
"Marmosa parda","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Marmosa perplexa","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Marmosa phaea","DIDELPHIMORPHIA","DIDELPHIDAE","1.9","1.9",NA,"1"
"Marmosa rapposa","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Marmosa robinsoni","DIDELPHIMORPHIA","DIDELPHIDAE","1.5,1.6,1.9,2.2",NA,NA,"1,2"
"Marmosa rubra","DIDELPHIMORPHIA","DIDELPHIDAE","1.6",NA,NA,"1"
"Marmosa rutteri","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Marmosa simonsi","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Marmosa tyleriana","DIDELPHIMORPHIA","DIDELPHIDAE","1.9",NA,"1.6","1"
"Marmosa waterhousii","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Marmosa xerophila","DIDELPHIMORPHIA","DIDELPHIDAE","1.5,3.5",NA,NA,"1,3"
"Marmosa zeledoni","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Monodelphis adusta","DIDELPHIMORPHIA","DIDELPHIDAE","1.6,1.9",NA,NA,"1"
"Monodelphis americana","DIDELPHIMORPHIA","DIDELPHIDAE","1.6,1.9,3.7",NA,NA,"1,3"
"Monodelphis arlindoi","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Monodelphis brevicaudata","DIDELPHIMORPHIA","DIDELPHIDAE","14.3,14.4,1.6","14.3,14.4,1.6",NA,"14,1"
"Monodelphis dimidiata","DIDELPHIMORPHIA","DIDELPHIDAE","14.2,1.6,4.4,4.5,5.3",NA,NA,"14,1,4,5"
"Monodelphis domestica","DIDELPHIMORPHIA","DIDELPHIDAE","14.6,1.5,1.6,3.5,4.5",NA,NA,"14,1,3,4"
"Monodelphis emiliae","DIDELPHIMORPHIA","DIDELPHIDAE","1.6",NA,NA,"1"
"Monodelphis gardneri","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Monodelphis glirina","DIDELPHIMORPHIA","DIDELPHIDAE","1.6",NA,NA,"1"
"Monodelphis handleyi","DIDELPHIMORPHIA","DIDELPHIDAE","1.6,1.8",NA,NA,"1"
"Monodelphis iheringi","DIDELPHIMORPHIA","DIDELPHIDAE","1.6",NA,"18","1,18"
"Monodelphis kunsi","DIDELPHIMORPHIA","DIDELPHIDAE","14.6,1.6,2.2",NA,NA,"14,1,2"
"Monodelphis osgoodi","DIDELPHIMORPHIA","DIDELPHIDAE","1.9",NA,NA,"1"
"Monodelphis palliolata","DIDELPHIMORPHIA","DIDELPHIDAE","1.5,1.6","1.5,1.6",NA,"14,1"
"Monodelphis peruviana","DIDELPHIMORPHIA","DIDELPHIDAE","1.6,1.9",NA,NA,"1"
"Monodelphis pinocchio","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Monodelphis reigi","DIDELPHIMORPHIA","DIDELPHIDAE","1.9",NA,NA,"1"
"Monodelphis ronaldi","DIDELPHIMORPHIA","DIDELPHIDAE","1.6",NA,NA,"1"
"Monodelphis saci","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Monodelphis sanctaerosae","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Monodelphis scalops","DIDELPHIMORPHIA","DIDELPHIDAE","1.6",NA,NA,"1"
"Monodelphis touan","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Monodelphis unistriata","DIDELPHIMORPHIA","DIDELPHIDAE","1.6",NA,NA,"1"
"Monodelphis vossi","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Tlacuatzin balsasensis","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Tlacuatzin canescens","DIDELPHIMORPHIA","DIDELPHIDAE","1.5,1.9,3.5",NA,NA,"1,3"
"Tlacuatzin gaumeri","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Tlacuatzin insularis","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Tlacuatzin sinaloae","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Metachirus myosuros","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Metachirus nudicaudatus","DIDELPHIMORPHIA","DIDELPHIDAE","14.6,1.6,1.7,3.5",NA,NA,"14,1,3"
"Chacodelphys formosa","DIDELPHIMORPHIA","DIDELPHIDAE","3.6","3.6",NA,"3"
"Cryptonanus agricolai","DIDELPHIMORPHIA","DIDELPHIDAE","1.5","1.5",NA,"1,3"
"Cryptonanus chacoensis","DIDELPHIMORPHIA","DIDELPHIDAE","1.6,4.6","1.6,4.6",NA,"14,1,4"
"Cryptonanus guahybae","DIDELPHIMORPHIA","DIDELPHIDAE","4.6",NA,"1.6","1,4"
"Cryptonanus unduaviensis","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,"1.6,1.8,4.6,5.4","1,4,5"
"Gracilinanus aceramarcae","DIDELPHIMORPHIA","DIDELPHIDAE","1.9",NA,NA,"1"
"Gracilinanus agilis","DIDELPHIMORPHIA","DIDELPHIDAE","1.6",NA,NA,"1"
"Gracilinanus dryas","DIDELPHIMORPHIA","DIDELPHIDAE","1.9",NA,NA,"1"
"Gracilinanus emiliae","DIDELPHIMORPHIA","DIDELPHIDAE","1.6",NA,NA,"1"
"Gracilinanus marica","DIDELPHIMORPHIA","DIDELPHIDAE","1.6,1.9,4.5","1.6,1.9,4.5",NA,"14,1,4"
"Gracilinanus microtarsus","DIDELPHIMORPHIA","DIDELPHIDAE","1.6",NA,NA,"1"
"Gracilinanus peruanus","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Lestodelphys halli","DIDELPHIMORPHIA","DIDELPHIDAE","3.4,4.4,8.2",NA,NA,"3,4,8"
"Marmosops bishopi","DIDELPHIMORPHIA","DIDELPHIDAE","1.5,1.6,1.8,1.9",NA,NA,"1"
"Marmosops carri","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Marmosops caucae","DIDELPHIMORPHIA","DIDELPHIDAE","1.6,1.9",NA,NA,"1"
"Marmosops chucha","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Marmosops creightoni","DIDELPHIMORPHIA","DIDELPHIDAE","1.9",NA,NA,"1"
"Marmosops fuscatus","DIDELPHIMORPHIA","DIDELPHIDAE","1.9",NA,NA,"1"
"Marmosops handleyi","DIDELPHIMORPHIA","DIDELPHIDAE","1.6,1.9",NA,NA,"1"
"Marmosops incanus","DIDELPHIMORPHIA","DIDELPHIDAE","1.5,1.6",NA,NA,"1"
"Marmosops invictus","DIDELPHIMORPHIA","DIDELPHIDAE","1.6","1.6",NA,"1"
"Marmosops juninensis","DIDELPHIMORPHIA","DIDELPHIDAE","1.9",NA,NA,"1"
"Marmosops magdalenae","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Marmosops marina","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Marmosops noctivagus","DIDELPHIMORPHIA","DIDELPHIDAE","1.6,1.9",NA,NA,"1"
"Marmosops ocellatus","DIDELPHIMORPHIA","DIDELPHIDAE","1.5",NA,NA,"1"
"Marmosops ojastii","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Marmosops pakaraimae","DIDELPHIMORPHIA","DIDELPHIDAE","1.6,1.9",NA,NA,"1"
"Marmosops parvidens","DIDELPHIMORPHIA","DIDELPHIDAE","1.6",NA,NA,"1"
"Marmosops paulensis","DIDELPHIMORPHIA","DIDELPHIDAE","1.9",NA,NA,"1"
"Marmosops pinheiroi","DIDELPHIMORPHIA","DIDELPHIDAE","1.6,1.8",NA,NA,"1"
"Marmosops soinii","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Marmosops woodalli","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Thylamys citellus","DIDELPHIMORPHIA","DIDELPHIDAE","1.6,1.8,4.6",NA,NA,"1,4"
"Thylamys elegans","DIDELPHIMORPHIA","DIDELPHIDAE","1.4,1.9,3.4,3.7",NA,NA,"1,3"
"Thylamys karimii","DIDELPHIMORPHIA","DIDELPHIDAE","1.5,2.1,2.2",NA,NA,"1,2"
"Thylamys macrurus","DIDELPHIMORPHIA","DIDELPHIDAE","1.5,1.6,2.1,2.2,3.5,3.6",NA,NA,"1,2,3"
"Thylamys pallidior","DIDELPHIMORPHIA","DIDELPHIDAE","3.5,8.2",NA,NA,"3,8"
"Thylamys pulchellus","DIDELPHIMORPHIA","DIDELPHIDAE","1.5,2.1",NA,NA,"1,2"
"Thylamys pusillus","DIDELPHIMORPHIA","DIDELPHIDAE","1.5,2.1",NA,NA,"1,2"
"Thylamys sponsorius","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Thylamys tatei","DIDELPHIMORPHIA","DIDELPHIDAE","3.5,8.2",NA,NA,"3,8"
"Thylamys velutinus","DIDELPHIMORPHIA","DIDELPHIDAE","2.1,3.5,3.6,4.5",NA,NA,"2,3,4"
"Thylamys venustus","DIDELPHIMORPHIA","DIDELPHIDAE","1.6,1.9,2.1","1.6,1.9,2.1",NA,"14,1,2,3"
"Glironia venusta","DIDELPHIMORPHIA","DIDELPHIDAE","1.5,1.6",NA,NA,"1"
"Hyladelphys kalinowskii","DIDELPHIMORPHIA","DIDELPHIDAE","1.6,1.8",NA,NA,"1"
"Dromiciops bozinovici","MICROBIOTHERIA","MICROBIOTHERIIDAE",NA,NA,NA,NA
"Dromiciops gliroides","MICROBIOTHERIA","MICROBIOTHERIIDAE","1.3,1.4",NA,NA,"1"
"Dromiciops mondaca","MICROBIOTHERIA","MICROBIOTHERIIDAE",NA,NA,NA,NA
"Notoryctes caurinus","NOTORYCTEMORPHIA","NOTORYCTIDAE","3.5,4.5,8.1",NA,NA,"3,4,8"
"Notoryctes typhlops","NOTORYCTEMORPHIA","NOTORYCTIDAE","3.5,4.5,8.1",NA,NA,"3,4,8"
"Dasycercus blythi","DASYUROMORPHIA","DASYURIDAE","3.5,4.5,8.1",NA,NA,"3,4,8"
"Dasycercus cristicauda","DASYUROMORPHIA","DASYURIDAE","3.5,4.5,8.1",NA,NA,"3,4,8"
"Dasykaluta rosamondae","DASYUROMORPHIA","DASYURIDAE","4.5",NA,NA,"4"
"Dasyuroides byrnei","DASYUROMORPHIA","DASYURIDAE","3.5,8.1",NA,NA,"3,8"
"Dasyurus albopunctatus","DASYUROMORPHIA","DASYURIDAE","14.4,14.6,1.6,1.9",NA,NA,"14,1"
"Dasyurus geoffroii","DASYUROMORPHIA","DASYURIDAE","1.4,1.5,3.5,3.8",NA,NA,"1,3"
"Dasyurus hallucatus","DASYUROMORPHIA","DASYURIDAE","1.5,3.4",NA,NA,"1,3"
"Dasyurus maculatus","DASYUROMORPHIA","DASYURIDAE","1.6,1.9","1.6,1.9",NA,"14,1"
"Dasyurus spartacus","DASYUROMORPHIA","DASYURIDAE","2.2",NA,NA,"2"
"Dasyurus viverrinus","DASYUROMORPHIA","DASYURIDAE","1.4,14.1,14.2,3.4,4.4",NA,NA,"1,14,3,4"
"Myoictis leucura","DASYUROMORPHIA","DASYURIDAE","1.6,1.9",NA,NA,"1"
"Myoictis melas","DASYUROMORPHIA","DASYURIDAE","14.4,1.6,1.9","14.4,1.6,1.9",NA,"14,1"
"Myoictis wallacii","DASYUROMORPHIA","DASYURIDAE",NA,NA,NA,NA
"Myoictis wavicus","DASYUROMORPHIA","DASYURIDAE","1.9",NA,NA,"1"
"Neophascogale lorentzii","DASYUROMORPHIA","DASYURIDAE","1.9,4.7",NA,NA,"1,4"
"Parantechinus apicalis","DASYUROMORPHIA","DASYURIDAE","3.8",NA,NA,"3"
"Phascolosorex doriae","DASYUROMORPHIA","DASYURIDAE","1.9",NA,NA,"1"
"Phascolosorex dorsalis","DASYUROMORPHIA","DASYURIDAE","1.9","1.9",NA,"14,1"
"Pseudantechinus bilarni","DASYUROMORPHIA","DASYURIDAE","6","6",NA,"1,2,6"
"Pseudantechinus macdonnellensis","DASYUROMORPHIA","DASYURIDAE","3.5,6","3.5,6",NA,"2,3,6,8"
"Pseudantechinus mimulus","DASYUROMORPHIA","DASYURIDAE","2.1,3.5,4.5,6",NA,NA,"2,3,4,6"
"Pseudantechinus ningbing","DASYUROMORPHIA","DASYURIDAE","1.5,2.1,3.5,6",NA,NA,"1,2,3,6"
"Pseudantechinus woolleyae","DASYUROMORPHIA","DASYURIDAE","3.5,6,8.1",NA,NA,"3,6,8"
"Sarcophilus harrisii","DASYUROMORPHIA","DASYURIDAE","1.4,7.1","1.4,7.1",NA,"1,14,16,3,4,7"
"Antechinus adustus","DASYUROMORPHIA","DASYURIDAE","1.9",NA,NA,"1"
"Antechinus agilis","DASYUROMORPHIA","DASYURIDAE","1.4,3.4,3.7",NA,NA,"1,3"
"Antechinus argentus","DASYUROMORPHIA","DASYURIDAE",NA,NA,NA,NA
"Antechinus arktos","DASYUROMORPHIA","DASYURIDAE",NA,NA,NA,NA
"Antechinus bellus","DASYUROMORPHIA","DASYURIDAE","1.5,2.1",NA,NA,"1,2"
"Antechinus flavipes","DASYUROMORPHIA","DASYURIDAE","14.4,14.5,1.5,1.6,2.1,3.8,5.4",NA,NA,"14,1,2,3,5"
"Antechinus godmani","DASYUROMORPHIA","DASYURIDAE","1.9",NA,NA,"1"
"Antechinus leo","DASYUROMORPHIA","DASYURIDAE","1.5,1.6",NA,NA,"1"
"Antechinus mimetes","DASYUROMORPHIA","DASYURIDAE",NA,NA,NA,NA
"Antechinus minimus","DASYUROMORPHIA","DASYURIDAE","1.4,3.4,4.4,5.4",NA,NA,"1,3,4,5"
"Antechinus mysticus","DASYUROMORPHIA","DASYURIDAE",NA,NA,NA,NA
"Antechinus stuartii","DASYUROMORPHIA","DASYURIDAE","1.4,1.5,1.6",NA,NA,"1"
"Antechinus subtropicus","DASYUROMORPHIA","DASYURIDAE","3.6","3.6",NA,"1,3"
"Antechinus swainsonii","DASYUROMORPHIA","DASYURIDAE","1.4,1.6,3.4,3.7",NA,NA,"1,3"
"Antechinus vandycki","DASYUROMORPHIA","DASYURIDAE",NA,NA,NA,NA
"Murexia habbema","DASYUROMORPHIA","DASYURIDAE","1.9,4.7",NA,NA,"1,4"
"Murexia longicaudata","DASYUROMORPHIA","DASYURIDAE","1.6,1.9",NA,NA,"1"
"Murexia melanurus","DASYUROMORPHIA","DASYURIDAE","1.6,1.9",NA,NA,"1"
"Murexia naso","DASYUROMORPHIA","DASYURIDAE","1.9",NA,NA,"1"
"Murexia rothschildi","DASYUROMORPHIA","DASYURIDAE","1.6,1.9",NA,NA,"1"
"Phascogale calura","DASYUROMORPHIA","DASYURIDAE","1.5,2.1,3.8",NA,NA,"1,2,3"
"Phascogale pirata","DASYUROMORPHIA","DASYURIDAE","1.5",NA,NA,"1"
"Phascogale tapoatafa","DASYUROMORPHIA","DASYURIDAE","1.4,1.5,2.2","1.4,1.5,2.2",NA,"1,2"
"Planigale gilesi","DASYUROMORPHIA","DASYURIDAE","3.5,4.5",NA,NA,"3,4"
"Planigale ingrami","DASYUROMORPHIA","DASYURIDAE","2.1,4.6",NA,NA,"2,4"
"Planigale maculata","DASYUROMORPHIA","DASYURIDAE","1.4,1.6,1.7,4.5,5.4,6",NA,NA,"1,4,5,6"
"Planigale novaeguineae","DASYUROMORPHIA","DASYURIDAE","2.2,4.5,4.6",NA,NA,"2,4"
"Planigale tenuirostris","DASYUROMORPHIA","DASYURIDAE","3.4,3.5,3.8,4.5",NA,NA,"3,4"
"Antechinomys laniger","DASYUROMORPHIA","DASYURIDAE","2.1,3.5,3.8,4.5,8.1,8.2",NA,NA,"2,3,4,8"
"Ningaui ridei","DASYUROMORPHIA","DASYURIDAE","2.1,3.5,4.5",NA,NA,"2,3,4"
"Ningaui timealeyi","DASYUROMORPHIA","DASYURIDAE","4.5,6,8.1",NA,NA,"4,6,8"
"Ningaui yvonneae","DASYUROMORPHIA","DASYURIDAE","3.5,4.5","3.5,4.5",NA,"3,4"
"Sminthopsis archeri","DASYUROMORPHIA","DASYURIDAE","1.5,1.6,2.2",NA,NA,"1,2"
"Sminthopsis bindi","DASYUROMORPHIA","DASYURIDAE","1.5,2.1,4.5",NA,NA,"1,2,4"
"Sminthopsis butleri","DASYUROMORPHIA","DASYURIDAE","1.6,3.5",NA,NA,"1,3"
"Sminthopsis crassicaudata","DASYUROMORPHIA","DASYURIDAE","14.1,14.2,2.1,3.5,3.8,4.5,8.1",NA,NA,"14,2,3,4,8"
"Sminthopsis dolichura","DASYUROMORPHIA","DASYURIDAE","1.5,2.1,3.5,3.8,4.5",NA,NA,"1,2,3,4"
"Sminthopsis douglasi","DASYUROMORPHIA","DASYURIDAE","2.1,3.5,4.5",NA,NA,"2,3,4"
"Sminthopsis froggatti","DASYUROMORPHIA","DASYURIDAE",NA,NA,NA,NA
"Sminthopsis fuliginosus","DASYUROMORPHIA","DASYURIDAE",NA,NA,NA,NA
"Sminthopsis gilberti","DASYUROMORPHIA","DASYURIDAE","1.4,3.4,3.5,3.8",NA,NA,"1,3"
"Sminthopsis granulipes","DASYUROMORPHIA","DASYURIDAE","3.8",NA,NA,"3"
"Sminthopsis hirtipes","DASYUROMORPHIA","DASYURIDAE","1.5,2.1,3.5,3.8,4.5",NA,NA,"1,2,3,4"
"Sminthopsis leucopus","DASYUROMORPHIA","DASYURIDAE","1.4,1.6,1.9,2.2,3.4,4.4","1.4,1.6,1.9,2.2,3.4,4.4",NA,"1,2,3,4"
"Sminthopsis longicaudata","DASYUROMORPHIA","DASYURIDAE","3.5,4.5,6",NA,NA,"3,4,6"
"Sminthopsis macroura","DASYUROMORPHIA","DASYURIDAE","2.1,3.5,4.5,8.1",NA,NA,"2,3,4,8"
"Sminthopsis murina","DASYUROMORPHIA","DASYURIDAE","1.4,1.5,1.6,2.1,3.4,3.5",NA,NA,"1,2,3"
"Sminthopsis ooldea","DASYUROMORPHIA","DASYURIDAE","2.1,3.5,3.8,4.5,8.1",NA,NA,"2,3,4,8"
"Sminthopsis psammophila","DASYUROMORPHIA","DASYURIDAE","3.5,4.4,4.5",NA,NA,"3,4"
"Sminthopsis stalkeri","DASYUROMORPHIA","DASYURIDAE",NA,NA,NA,NA
"Sminthopsis virginiae","DASYUROMORPHIA","DASYURIDAE","14.3,2.2,4.5",NA,NA,"14,2,4"
"Sminthopsis youngsoni","DASYUROMORPHIA","DASYURIDAE","3.5,4.5,8.1",NA,NA,"3,4,8"
"Myrmecobius fasciatus","DASYUROMORPHIA","MYRMECOBIIDAE","1.5","1.5",NA,"1,2,3,8"
"Thylacinus cynocephalus","DASYUROMORPHIA","THYLACINIDAE",NA,NA,"1.4,1.6,4.4","1,4"
"Chaeropus ecaudatus","PERAMELEMORPHIA","CHAEROPODIDAE",NA,NA,"1.5,2.1,3.5,3.8,4.5","1,2,3,4"
"Chaeropus yirratji","PERAMELEMORPHIA","CHAEROPODIDAE",NA,NA,NA,NA
"Echymipera clara","PERAMELEMORPHIA","PERAMELIDAE","1.6,1.9","1.6,1.9",NA,"14,1"
"Echymipera davidi","PERAMELEMORPHIA","PERAMELIDAE","14.6",NA,NA,"14"
"Echymipera echinista","PERAMELEMORPHIA","PERAMELIDAE","1.6,18,1.8,2.2",NA,NA,"1,18,2"
"Echymipera kalubu","PERAMELEMORPHIA","PERAMELIDAE","14.3,14.4,1.6,1.9,5.4","14.3,14.4,1.6,1.9,5.4",NA,"14,1,5"
"Echymipera rufescens","PERAMELEMORPHIA","PERAMELIDAE","1.6,1.9,3.6,4.5,4.6",NA,NA,"1,3,4"
"Microperoryctes aplini","PERAMELEMORPHIA","PERAMELIDAE","1.9",NA,NA,"1"
"Microperoryctes longicauda","PERAMELEMORPHIA","PERAMELIDAE","1.9,4.7",NA,NA,"1,4"
"Microperoryctes murina","PERAMELEMORPHIA","PERAMELIDAE","1.9",NA,NA,"1"
"Microperoryctes papuensis","PERAMELEMORPHIA","PERAMELIDAE","1.9",NA,NA,"1"
"Rhynchomeles prattorum","PERAMELEMORPHIA","PERAMELIDAE","1.9",NA,NA,"1"
"Isoodon auratus","PERAMELEMORPHIA","PERAMELIDAE","2.1,2.2,3.5,3.6,4.5",NA,NA,"2,3,4"
"Isoodon fusciventer","PERAMELEMORPHIA","PERAMELIDAE",NA,NA,NA,NA
"Isoodon macrourus","PERAMELEMORPHIA","PERAMELIDAE","1.4,14.2,14.4,1.5,1.6,2.1,3.4,3.5,3.6,4.4,4.5","1.4,14.2,14.4,1.5,1.6,2.1,3.4,3.5,3.6,4.4,4.5",NA,"1,14,2,3,4"
"Isoodon obesulus","PERAMELEMORPHIA","PERAMELIDAE","1.4,3.4,3.5,3.8,4.4,4.5,5.4","1.4,3.4,3.5,3.8,4.4,4.5,5.4",NA,"1,14,3,4,5"
"Isoodon peninsulae","PERAMELEMORPHIA","PERAMELIDAE",NA,NA,NA,NA
"Perameles bougainville","PERAMELEMORPHIA","PERAMELIDAE","3.4,3.5,3.8,4.4,4.5",NA,NA,"3,4"
"Perameles eremiana","PERAMELEMORPHIA","PERAMELIDAE","3.5,4.4,4.5,8.1,8.2",NA,NA,"3,4,8"
"Perameles fasciata","PERAMELEMORPHIA","PERAMELIDAE",NA,NA,NA,NA
"Perameles gunnii","PERAMELEMORPHIA","PERAMELIDAE","14.2,4.4",NA,NA,"14,4"
"Perameles myosuros","PERAMELEMORPHIA","PERAMELIDAE",NA,NA,NA,NA
"Perameles nasuta","PERAMELEMORPHIA","PERAMELIDAE","1.4,14.4,14.5,1.5,1.6,3.4,3.5,4.4,4.5",NA,NA,"1,14,3,4"
"Perameles notina","PERAMELEMORPHIA","PERAMELIDAE",NA,NA,NA,NA
